marca,modelo,precio,kilometraje,year,combustible,ciudad,cat_combustible,antiguedad_auto,uso_anual_estimado,es_ecologico,categoria_precio,rango_kilometraje,tipo_marca,segmento_depreciacion
chevrolet,Colorado 2.8 Work Truck Mt,27490000.0,32506.0,2025,diesel,santiago,1,1,32506.0,0,alto,medio,general,baja depreciacion
chevrolet,D-max E5 Dcab 4x4 2.5,11950000.0,171331.0,2019,diesel,santiago,1,7,24475.85714285714,0,medio,alto,general,alta depreciacion
chevrolet,Equinox At,15250000.0,100923.0,2018,bencina,santiago,0,8,12615.375,0,medio,alto,general,depreciacion media
chevrolet,Groove 1.5 Premier 4x2 Mt 5p,11490000.0,24668.0,2023,bencina,biobio,0,3,8222.666666666666,0,medio,bajo,general,baja depreciacion
chevrolet,Montana Ii Rc 1.8,4990000.0,163238.0,2011,bencina,santiago,0,15,10882.533333333333,0,bajo,alto,general,alta depreciacion
chevrolet,Montana 1.2t Premier S 4x2 Mt 4p,15990000.0,78387.0,2024,bencina,biobio,0,2,39193.5,0,medio,medio,general,depreciacion media
chevrolet,Onix Ltz,9490000.0,29000.0,2018,bencina,santiago,0,8,3625.0,0,bajo,bajo,general,depreciacion media
chevrolet,Onix 1.0t Lt 4x2 Sedan Mt 4p,8590000.0,105745.0,2021,bencina,araucania,0,5,21149.0,0,bajo,alto,general,depreciacion media
chevrolet,Onix Nb Lt 1.0t,11645000.0,14336.0,2021,bencina,santiago,0,5,2867.2,0,medio,bajo,general,depreciacion media
chevrolet,Onix Hb Ltz 1.0t Mt,9500000.0,40000.0,2021,bencina,santiago,0,5,8000.0,0,bajo,medio,general,depreciacion media
chevrolet,Onix 1.0t Rs Mt 5p,9490000.0,23985.0,2022,bencina,tarapaca,0,4,5996.25,0,bajo,bajo,general,depreciacion media
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,12090000.0,38859.0,2024,bencina,antofagasta,0,2,19429.5,0,medio,medio,general,baja depreciacion
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,11590000.0,54025.0,2024,bencina,araucania,0,2,27012.5,0,medio,medio,general,depreciacion media
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,12090000.0,38196.0,2024,bencina,araucania,0,2,19098.0,0,medio,medio,general,baja depreciacion
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,11590000.0,42015.0,2024,bencina,araucania,0,2,21007.5,0,medio,medio,general,baja depreciacion
