precio,kilometraje,anio,combustible_limpio,marca_limpia,modelo_limpio,cat_combustible,cat_marca,cat_modelo,features,scaledFeatures,prediction
8590000.0,105745.0,2021,bencina,chevrolet,onix 1.0t lt 4x2 sedan mt 4p,0,0,558,"[8590000.0,105745.0,2021.0,0.0,558.0]","[0.8615638100535338,2.1175857522217885,569.0741693748416,0.0,2.4985698287785434]",0
11590000.0,54025.0,2024,bencina,chevrolet,onix 1.0t rs r 4x2 hb mt 5p,0,0,55,"[11590000.0,54025.0,2024.0,0.0,55.0]","[1.1624592035530217,1.0818721477496063,569.9189108434831,0.0,0.2462748039118636]",3
35490000.0,58000.0,2018,bencina,audi,s5 3.0 v6 cabrio quattro,0,14,635,"[35490000.0,58000.0,2018.0,14.0,635.0]","[3.5595925050989425,1.16147310632998,568.2294279062,1.164360036611649,2.8433545542551526]",0
21990000.0,52471.0,2018,bencina,bmw,220 2.0i a coupe,0,12,255,"[21990000.0,52471.0,2018.0,12.0,255.0]","[2.2055632343512466,1.0507526786593169,568.2294279062,0.9980228885242706,1.1418195454095494]",0
39970000.0,33000.0,2024,bencina,bmw,x3 sdrive 2.0 at,0,12,765,"[39970000.0,33000.0,2024.0,12.0,765.0]","[4.008929626058178,0.6608381467049885,569.9189108434831,0.9980228885242706,3.4254586362286483]",2
32900000.0,90000.0,2013,bencina,bmw,x5 m 4.4,0,12,770,"[32900000.0,90000.0,2013.0,12.0,770.0]","[3.2998194820443847,1.802285854649969,566.8215254584642,0.9980228885242706,3.4478472547660903]",0
13490000.0,30054.0,2023,bencina,chery,tiggo 1.5t glx 4x2 cvt at 5p,0,6,153,"[13490000.0,30054.0,2023.0,6.0,153.0]","[1.3530262861026974,0.6018433230627795,569.6373303539359,0.4990114442621353,0.6850917272457296]",3
15250000.0,100923.0,2018,bencina,chevrolet,equinox at,0,0,424,"[15250000.0,100923.0,2018.0,0.0,424.0]","[1.5295515836223972,2.02102328120932,568.2294279062,0.0,1.898554851975094]",1
15990000.0,78387.0,2024,bencina,chevrolet,montana 1.2t premier s 4x2 mt 4p,0,0,531,"[15990000.0,78387.0,2024.0,0.0,531.0]","[1.6037724473522708,1.5697309032049678,569.9189108434831,0.0,2.377671288676356]",0
11790000.0,33708.0,2024,bencina,chevrolet,onix 1.0t rs r 4x2 hb mt 5p,0,0,55,"[11790000.0,33708.0,2024.0,0.0,55.0]","[1.1825188964529876,0.6750161287615684,569.9189108434831,0.0,0.2462748039118636]",3
25990000.0,30273.0,2021,bencina,audi,q3 35 tfsi 1.4,0,14,581,"[25990000.0,30273.0,2021.0,14.0,581.0]","[2.606757092350564,0.6062288853090945,569.0741693748416,1.164360036611649,2.6015574740507774]",0
7490000.0,110371.0,2021,bencina,baic,x35 1.5 luxury fl 4x2 mt 5p,0,58,767,"[7490000.0,110371.0,2021.0,58.0,767.0]","[0.7512354991037216,2.2102232451507966,569.0741693748416,4.823777294533975,3.434414083643625]",0
6950000.0,87626.0,2023,bencina,chery,arrizo 1.5,0,6,307,"[6950000.0,87626.0,2023.0,6.0,307.0]","[0.6970743282738138,1.7547455588839798,569.6373303539359,0.4990114442621353,1.3746611781989477]",3
11990000.0,78225.0,2019,bencina,chevrolet,captiva 1.5t premier fwd mt 5p,0,0,123,"[11990000.0,78225.0,2019.0,0.0,123.0]","[1.2025785893529535,1.5664867886665979,568.5110083957472,0.0,0.5507600160210768]",3
16900000.0,23500.0,2021,bencina,chevrolet,captiva captiva 1.5 premier,0,0,349,"[16900000.0,23500.0,2021.0,0.0,349.0]","[1.6950440500471153,0.47059686204749185,569.0741693748416,0.0,1.5627255739134618]",3
11490000.0,24668.0,2023,bencina,chevrolet,groove 1.5 premier 4x2 mt 5p,0,0,466,"[11490000.0,24668.0,2023.0,0.0,466.0]","[1.1524293571030388,0.49398652736117143,569.6373303539359,0.0,2.086619247689608]",3
4990000.0,163238.0,2011,bencina,chevrolet,montana ii rc 1.8,0,0,532,"[4990000.0,163238.0,2011.0,0.0,532.0]","[0.5004893378541483,3.2689059815705734,566.2583644793699,0.0,2.3821490123838442]",1
9490000.0,29000.0,2018,bencina,chevrolet,onix ltz,0,0,562,"[9490000.0,29000.0,2018.0,0.0,562.0]","[0.9518324281033802,0.58073655316499,568.2294279062,0.0,2.516480723608497]",0
12090000.0,38859.0,2024,bencina,chevrolet,onix 1.0t rs r 4x2 hb mt 5p,0,0,55,"[12090000.0,38859.0,2024.0,0.0,55.0]","[1.2126084358029365,0.7781669558427016,569.9189108434831,0.0,0.2462748039118636]",3
12090000.0,38196.0,2024,bencina,chevrolet,onix 1.0t rs r 4x2 hb mt 5p,0,0,55,"[12090000.0,38196.0,2024.0,0.0,55.0]","[1.2126084358029365,0.7648901167134468,569.9189108434831,0.0,0.2462748039118636]",3
24990000.0,45182.0,2023,bencina,audi,q2 1.4 35 tfsi stronic auto,0,14,579,"[24990000.0,45182.0,2023.0,14.0,579.0]","[2.506458627850735,0.9047875498310544,569.6373303539359,1.164360036611649,2.5926020266358005]",0
28990000.0,61312.0,2019,bencina,audi,q5 2.0 45 tfsi s-line auto q,0,14,586,"[28990000.0,61312.0,2019.0,14.0,586.0]","[2.907652485850052,1.2277972257810987,568.5110083957472,1.164360036611649,2.6239460925882194]",0
27990000.0,121130.0,2018,bencina,audi,q7 2.0 tfsi quattro tiptroni,0,14,589,"[27990000.0,121130.0,2018.0,14.0,589.0]","[2.8073540213502226,2.425676506375008,568.2294279062,1.164360036611649,2.637379263710685]",0
29950000.0,22000.0,2018,bencina,bmw,220i cabriolet otto,0,12,259,"[29950000.0,22000.0,2018.0,12.0,259.0]","[3.003939011769888,0.44055876446999237,568.2294279062,0.9980228885242706,1.1597304402395032]",2
