marca,modelo,year,precio,kilometraje,combustible,ciudad,url,precio_num,km_num,year_limpio
bmw,650 Cabriolet 4.8 V8,2009,19970000.0,135000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/bmw-650-2009-metropolitana-de-santiago-cod77340053.html,19977.0,1350000.0,2009
bmw,M440i 3.0 M Cabrio Xdrive,2021,52990000.0,50997.0,bencina,santiago,https://automoviles.emol.com/venta/autos/bmw-m440i-2021-metropolitana-de-santiago-cod77280973.html,52997.0,509970.0,2021
bmw,X1 Sdrive 20i 2.0,2015,13800000.0,200387.0,bencina,santiago,https://automoviles.emol.com/venta/autos/bmw-x1-2015-metropolitana-de-santiago-cod77168273.html,1387.0,2003870.0,2015
bmw,X1 Sdrive,2018,15970000.0,165500.0,diesel,santiago,https://automoviles.emol.com/venta/autos/bmw-x1-2018-metropolitana-de-santiago-cod77216055.html,15977.0,1655000.0,2018
bmw,X1 2.0 Sdrive 18d,2019,18490000.0,97053.0,diesel,santiago,https://automoviles.emol.com/venta/autos/bmw-x1-2019-metropolitana-de-santiago-cod77337658.html,18497.0,970530.0,2019
bmw,X3 Sdrive 2.0 At,2024,39970000.0,33000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/bmw-x3-2024-metropolitana-de-santiago-cod77328776.html,39977.0,330000.0,2024
bmw,X4 2.0 Turbo Xdrive,2018,29970000.0,43000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/bmw-x4-2018-metropolitana-de-santiago-cod77338035.html,29977.0,430000.0,2018
bmw,X5 M 4.4,2013,32900000.0,90000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/bmw-x5-2013-metropolitana-de-santiago-cod75555753.html,3297.0,900000.0,2013
bmw,X5 Xdrive 35i 3.0 Biturbo Xd,2017,24470000.0,123400.0,bencina,santiago,https://automoviles.emol.com/venta/autos/bmw-x5-2017-metropolitana-de-santiago-cod77187647.html,24477.0,1234000.0,2017
bmw,X5 Xdrive 25d 4x4,2020,36990000.0,92340.0,diesel,santiago,https://automoviles.emol.com/venta/autos/bmw-x5-2020-metropolitana-de-santiago-cod77276462.html,36997.0,923400.0,2020
bmw,X5 Xdrive 40 Msport,2023,59970000.0,51500.0,bencina,santiago,https://automoviles.emol.com/venta/autos/bmw-x5-2023-metropolitana-de-santiago-cod77194436.html,59977.0,515000.0,2023
