variable_valor,status
17290000,1.0
15000000,1.0
15100000,1.0
10200000,1.0
17100000,1.0
16200000,1.0
18100000,1.0
15490000,1.0
14790000,1.0
25100000,1.0
15490000,1.0
15990000,1.0
14690000,1.0
13190000,1.0
23490000,1.0
18000000,1.0
20000000,1.0
16600000,1.0
