_id,antiguedad_auto,cat_combustible,categoria_precio,ciudad,combustible,es_ecologico,fecha_captura,foto_url,grupo,kilometraje,marca,modelo,precio,rango_kilometraje,tipo_marca,url,uso_anual_estimado,usuario,year
6a1c90b3b2f827e18bad4f99,2,0,Alto,santiago,bencina,0,2026-05-31 19:48:54,,AutoTec,27294.0,audi,A1 Sportback 30 Tfsi Sport,21990000.0,Bajo,premium,https://automoviles.emol.com/venta/autos/audi-a1-2024-metropolitana-de-santiago-cod77058519.html,13647.0,Luz Azocar,2024
6a1c90b3b2f827e18bad4f1c,8,0,Medio,santiago,bencina,0,2026-05-31 19:48:03,,AutoTec,84917.0,audi,A3 2.0 Tfsi Sport Auto,18990000.0,Medio,premium,https://automoviles.emol.com/venta/autos/audi-a3-2018-metropolitana-de-santiago-cod77311817.html,10614.625,Luz Azocar,2018
6a1c90b2b2f827e18bad4e62,8,0,Medio,santiago,bencina,0,2026-05-31 19:47:57,,AutoTec,93687.0,audi,A3 1.4 35 Tfsi Stronic Auto,15890000.0,Medio,premium,https://automoviles.emol.com/venta/autos/audi-a3-2018-metropolitana-de-santiago-cod77339804.html,11710.875,Luz Azocar,2018
6a1c90b3b2f827e18bad4f91,2,0,Alto,santiago,bencina,0,2026-05-31 19:48:53,,AutoTec,11766.0,audi,A1 Sportback 30 Tfsi Sport,21990000.0,Bajo,premium,https://automoviles.emol.com/venta/autos/audi-a1-2024-metropolitana-de-santiago-cod77060536.html,5883.0,Luz Azocar,2024
6a1c90b2b2f827e18bad4eba,11,1,Medio,santiago,diesel,0,2026-05-31 19:47:16,,AutoTec,182000.0,audi,A6 2.0 Turbo,12970000.0,Alto,premium,https://automoviles.emol.com/venta/autos/audi-a6-2015-metropolitana-de-santiago-cod77139422.html,16545.454545454544,Luz Azocar,2015
6a1c90b2b2f827e18bad4e33,3,0,Alto,santiago,bencina,0,2026-05-31 19:47:41,,AutoTec,70030.0,audi,Q8 : 3.0 55 Tfsi Sline Quatt,55990000.0,Medio,premium,https://automoviles.emol.com/venta/autos/audi-q8-2023-metropolitana-de-santiago-cod76937854.html,23343.333333333332,Luz Azocar,2023
6a1c90b2b2f827e18bad4e4f,2,0,Alto,santiago,bencina,0,2026-05-31 19:47:50,,AutoTec,11824.0,audi,S4 3.0 Tfsi Tiptronic Quattr,51990000.0,Bajo,premium,https://automoviles.emol.com/venta/autos/audi-s4-2024-metropolitana-de-santiago-cod76568767.html,5912.0,Luz Azocar,2024
6a1c90b3b2f827e18bad4f0f,10,0,Medio,santiago,bencina,0,2026-05-31 19:48:45,,AutoTec,98188.0,bmw,120i Lci 1.6,14950000.0,Medio,premium,https://automoviles.emol.com/venta/autos/bmw-120i-2016-metropolitana-de-santiago-cod77320107.html,9818.8,Luz Azocar,2016
6a1c90b2b2f827e18bad4ece,8,0,Alto,santiago,bencina,0,2026-05-31 19:47:18,,AutoTec,43000.0,bmw,X4 2.0 Turbo Xdrive,29970000.0,Bajo,premium,https://automoviles.emol.com/venta/autos/bmw-x4-2018-metropolitana-de-santiago-cod77338035.html,5375.0,Luz Azocar,2018
6a1c90b2b2f827e18bad4eab,3,0,Alto,santiago,bencina,0,2026-05-31 19:47:10,,AutoTec,51500.0,bmw,X5 Xdrive 40 Msport,59970000.0,Medio,premium,https://automoviles.emol.com/venta/autos/bmw-x5-2023-metropolitana-de-santiago-cod77194436.html,17166.666666666668,Luz Azocar,2023
6a1c90b4b2f827e18bad5000,2,0,Alto,antofagasta,bencina,0,2026-05-31 19:47:03,,AutoTec,45469.0,chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,20590000.0,Bajo,generalista,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-antofagasta-cod77081591.html,22734.5,Luz Azocar,2024
6a1c90b4b2f827e18bad4fdd,2,0,Alto,araucania,bencina,0,2026-05-31 19:47:31,,AutoTec,23296.0,chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,20790000.0,Bajo,generalista,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-araucania-cod77271260.html,11648.0,Luz Azocar,2024
