y_real,y_predicho
7490000.0,8482931.745180974
19990000.0,16846382.709999315
43990000.0,38509670.53467593
11645000.0,14152838.269194724
15690000.0,14160684.096438741
24990000.0,27621014.034294665
13950000.0,13829610.747289952
19950000.0,11604392.366376907
7990000.0,10769473.917224983
5480000.0,9216124.021649448
24470000.0,30719176.189920817
49990000.0,36266125.14855729
12490000.0,12219026.9788181
7490000.0,10534766.832133513
14390000.0,15503094.884327635
11990000.0,10993418.505301796
8790000.0,11298916.43849779
33990000.0,33735057.84006338
17900000.0,13722299.417386236
11250000.0,10393986.402958719
16790000.0,16720487.652552994
13900000.0,12082927.841560317
16990000.0,12819633.99984497
21990000.0,27019738.718645427
19990000.0,8827273.923818557
18490000.0,14704904.802070683
13990000.0,13419055.608923918
49990000.0,45594123.981740415
18490000.0,13874595.081520507
17800000.0,14232252.350746227
27490000.0,33208850.140362766
15950000.0,13217587.89447394
24990000.0,26068466.960635345
14690000.0,12316097.908797622
23990000.0,22533973.531665325
14990000.0,13191150.729183353
10900000.0,14045924.070613975
9290000.0,11815085.115766091
7690000.0,11206774.209053418
24990000.0,25622127.15937326
10290000.0,14171544.338613328
12490000.0,9824282.632853393
23990000.0,23878273.94615113
17800000.0,17072166.076242648
30490000.0,27535079.643948138
16200000.0,16031682.014735982
11290000.0,11399470.285971113
33800000.0,26828321.42529969
8490000.0,6300284.850238011
25290000.0,21782202.307502516
23290000.0,26078494.132182423
24990000.0,25667088.986446217
11290000.0,11758727.74473593
21490000.0,21160099.27832799
14190000.0,13659178.140929716
35900000.0,45212883.49193164
8890000.0,11433006.490486419
21990000.0,38069503.63973255
9000000.0,9210208.267827367
11390000.0,12210325.262336355
32990000.0,29653787.5240562
11990000.0,10908620.917351305
13990000.0,13183824.425078848
18380000.0,13329353.502086913
3500000.0,9334206.899654455
17490000.0,18120754.045785118
34990000.0,35868673.74595153
13980000.0,13884026.212337786
14590000.0,16059255.000528626
16590000.0,14855807.214863831
23990000.0,25472868.84337367
14490000.0,11468772.23174425
21490000.0,25961463.303711966
11500000.0,9604951.461393489
20790000.0,24299656.19959546
11690000.0,12226223.145743033
16990000.0,10719455.128356062
11490000.0,11258850.351101764
9490000.0,10790735.596146144
12990000.0,8387779.036406959
37990000.0,26755190.063968617
23500000.0,25527020.67718581
18990000.0,14898776.031865222
10690000.0,9686517.354664138
19900000.0,16167324.29681862
18950000.0,11418711.89967747
10490000.0,10629455.160970641
13980000.0,8358249.254378965
7390000.0,12104267.950651981
13590000.0,9169169.112611907
14200000.0,12588918.906631574
19490000.0,17358426.23726169
10980000.0,9007111.941792687
14990000.0,13922124.899854079
10590000.0,7621678.822572262
7390000.0,8561436.746229706
15990000.0,11031679.505918052
5190000.0,10078278.038227921
14790000.0,14323853.940429192
16190000.0,17531859.267369136
6900000.0,10023112.791283423
10200000.0,12987370.547267132
11490000.0,11915826.089188766
13990000.0,13201847.41410662
25490000.0,27029603.642959733
10890000.0,10734451.984026691
11290000.0,12626924.815232256
20980000.0,25824675.93340298
14000000.0,13823647.611242704
12490000.0,9687088.329745404
11690000.0,10887978.665037211
16490000.0,11436784.779367521
18490000.0,16721185.756192653
25490000.0,37764217.51238735
12990000.0,11755291.611337278
8490000.0,10649433.588751452
8980000.0,10325420.984039927
49990000.0,39931827.750056535
15590000.0,13130254.71905664
56990000.0,46996106.30361226
11400000.0,10567870.76663022
16850000.0,15799588.721183948
47190000.0,32654929.776519112
17790000.0,14026092.308880726
14790000.0,12765357.62677068
15490000.0,13016892.492754124
10400000.0,8930474.975039355
8890000.0,10207913.348617822
10990000.0,11210847.217413764
20690000.0,20769441.370495774
11190000.0,7487435.616640086
13590000.0,10654559.135150317
9900000.0,9400624.723415347
18990000.0,17384701.1589439
7490000.0,12273712.866600981
18280000.0,17724866.94872761
10790000.0,12382660.858814204
19800000.0,19032395.250830173
27890000.0,23863015.831433564
17990000.0,16995873.68448871
18490000.0,14200910.774316099
13190000.0,10065877.936115755
6000000.0,10867106.014057726
8290000.0,11952847.570275389
56990000.0,29116539.951394226
13590000.0,13040426.200158687
9290000.0,9650258.207771964
6390000.0,9189537.857510487
25490000.0,26618666.17704344
18990000.0,17259606.01739817
14090000.0,12937331.37631317
9390000.0,10002488.945983043
9990000.0,11203028.466267359
25490000.0,20189860.475070823
11990000.0,11806942.107402345
13950000.0,12864008.423061395
34990000.0,44422801.09034666
8300000.0,11545136.371417949
15990000.0,22536473.658037458
43990000.0,35868673.74595153
21990000.0,27120886.83943932
10990000.0,16417979.71708269
9190000.0,10081164.353757273
5400000.0,10632078.402182627
22990000.0,23907007.155270696
10990000.0,14978060.49940497
8990000.0,12303414.464743664
12490000.0,12707678.638761822
6980000.0,7918114.340986637
4190000.0,4965133.004490663
30990000.0,40079746.06930152
13990000.0,9553789.166049749
13990000.0,15163245.401221488
18490000.0,13497121.877188884
