y_real,y_predicho
7490000.0,9298950.0
19990000.0,18387650.0
43990000.0,36395050.0
11645000.0,13829150.0
15690000.0,14688239.95
24990000.0,25310800.0
13950000.0,13204149.85
19950000.0,10987199.85
7990000.0,9366249.9
5480000.0,8088450.0
24470000.0,29185050.0
49990000.0,34677250.0
12490000.0,12851324.2
7490000.0,9711375.0
14390000.0,14174450.0
11990000.0,12116950.0
8790000.0,9989300.0
33990000.0,26621450.0
17900000.0,16311000.0
11250000.0,11520050.0
16790000.0,16713199.9
13900000.0,12338139.8
16990000.0,13399199.9
21990000.0,25683400.0
19990000.0,9582899.9
18490000.0,16036449.6
13990000.0,14285099.95
49990000.0,45228200.0
18490000.0,13609950.0
17800000.0,14390399.75
27490000.0,26804100.0
15950000.0,13534700.0
24990000.0,23049450.0
14690000.0,11407525.0
23990000.0,23224050.0
14990000.0,12758200.0
10900000.0,14447949.7
9290000.0,11418875.0
7690000.0,9191250.0
24990000.0,23422900.0
10290000.0,11731900.0
12490000.0,9473350.0
23990000.0,23538800.0
17800000.0,17202850.0
30490000.0,24962300.0
16200000.0,16585349.6
11290000.0,11747000.0
33800000.0,26046850.0
8490000.0,10125650.0
25290000.0,24978950.0
23290000.0,23746750.0
24990000.0,25341150.0
11290000.0,11387500.0
21490000.0,26484650.0
14190000.0,12856649.55
35900000.0,38508400.0
8890000.0,9819549.85
21990000.0,33520450.0
9000000.0,8692900.0
11390000.0,12304381.0
32990000.0,26697050.0
11990000.0,11565350.0
13990000.0,12909000.0
18380000.0,15498149.7
3500000.0,3326250.0
17490000.0,13369442.95
34990000.0,35338350.0
13980000.0,13472799.75
14590000.0,14171700.0
16590000.0,14424100.0
23990000.0,24653350.0
14490000.0,14315800.0
21490000.0,23938600.0
11500000.0,9002099.7
20790000.0,23155050.0
11690000.0,10000499.95
16990000.0,10738300.0
11490000.0,10144199.95
9490000.0,9743799.95
12990000.0,10914700.0
37990000.0,26068500.0
23500000.0,40955200.0
18990000.0,14871600.0
10690000.0,10517050.0
19900000.0,12841675.0
18950000.0,13574999.85
10490000.0,10595350.0
13980000.0,8960649.95
7390000.0,9354600.0
13590000.0,10480149.45
14200000.0,13482250.0
19490000.0,16884049.95
10980000.0,9381449.65
14990000.0,12711765.5
10590000.0,9755450.0
7390000.0,8465949.05
15990000.0,10420449.95
5190000.0,9924849.85
14790000.0,13120290.0
16190000.0,14012849.95
6900000.0,8986150.0
10200000.0,10691850.0
11490000.0,11549550.0
13990000.0,13959000.0
25490000.0,26519200.0
10890000.0,9411049.95
11290000.0,12449550.0
20980000.0,25989900.0
14000000.0,13957899.9
12490000.0,9717550.0
11690000.0,10926700.0
16490000.0,9788300.0
18490000.0,18238000.0
25490000.0,29640450.0
12990000.0,11329850.0
8490000.0,10631349.95
8980000.0,13496150.0
49990000.0,38106300.0
15590000.0,12078300.0
56990000.0,38327650.0
11400000.0,10506699.8
16850000.0,16708249.95
47190000.0,34721550.0
17790000.0,15912750.0
14790000.0,13126950.0
15490000.0,15095500.0
10400000.0,9041799.6
8890000.0,10025699.9
10990000.0,10916850.0
20690000.0,22794000.0
11190000.0,8858599.9
13590000.0,11078250.0
9900000.0,9985000.0
18990000.0,13993749.95
7490000.0,11245350.0
18280000.0,16341125.0
10790000.0,12756175.0
19800000.0,19211149.95
27890000.0,23942750.0
17990000.0,16765530.0
18490000.0,14670099.7
13190000.0,12914050.0
6000000.0,9468915.25
8290000.0,10126700.0
56990000.0,30847550.0
13590000.0,12985200.0
9290000.0,9651299.95
6390000.0,8093000.0
25490000.0,25502550.0
18990000.0,18266000.0
14090000.0,14207000.0
9390000.0,10039100.0
9990000.0,10155774.95
25490000.0,23565000.0
11990000.0,10623049.85
13950000.0,11686799.65
34990000.0,37325000.0
8300000.0,11864300.0
15990000.0,14872500.0
43990000.0,41867300.0
21990000.0,23582450.0
10990000.0,14308299.9
9190000.0,9626850.0
5400000.0,10074949.95
22990000.0,24950300.0
10990000.0,12735400.0
8990000.0,10581649.95
12490000.0,12674500.0
6980000.0,8572650.0
4190000.0,3825500.0
30990000.0,26784400.0
13990000.0,10083500.0
13990000.0,11346950.0
18490000.0,18053000.0
14980000.0,15750450.0
15400000.0,17747799.95
18900000.0,15452649.95
18380000.0,18042399.25
23990000.0,21915850.0
16000000.0,9451599.6
11900000.0,12826348.95
8950000.0,8891749.95
12450000.0,11556000.0
17490000.0,16148699.9
8990000.0,11336700.0
11690000.0,10426650.0
6990000.0,9854400.0
29950000.0,33700350.0
8490000.0,12265850.0
15890000.0,11648900.0
12790000.0,12860950.0
6780000.0,8506648.8
9100000.0,9301399.9
12490000.0,10842774.8
12990000.0,11233600.0
10990000.0,9158549.95
22950000.0,24305750.0
10690000.0,15425899.85
13490000.0,9827999.75
22890000.0,27847550.0
15990000.0,14291900.0
9490000.0,8780200.0
11790000.0,10623281.0
12450000.0,14303546.45
10490000.0,11049175.0
12190000.0,12127700.0
21990000.0,27922150.0
